Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Damian Jones,-1.5,6.96,244.0,7.31,99,27.1,13.3,7.13,21.7,0.573,0.567,1185,13.4,6.3,0.9,6.4,14.7,26.6,0.151,3.7,1,0,0
Cheick Diallo,-1.3,6.75,219.0,7.38,27,7.5,3.0,11.22,20.5,0.572,0.569,74,19.4,0.9,2.0,11.9,19.4,21.7,0.159,3.7,1,0,0
Tyler Ulis,-3.6,5.83,149.0,6.17,72,30.1,11.3,8.76,20.6,0.563,0.499,916,4.5,31.4,2.5,0.3,12.9,19.3,0.208,9.9,0,1,0
Malcolm Brogdon,0.8,6.46,223.0,6.88,136,30.6,13.3,7.76,20.6,0.556,0.496,1713,8.7,17.7,1.9,0.9,11.3,25.3,0.196,8.6,0,1,0
Patrick McCaw,-2.8,6.56,181.0,6.83,65,31.7,12.2,3.28,18.7,0.567,0.539,791,7.2,20.7,3.6,1.1,15.2,20.0,0.148,5.9,0,0,1
Isaiah Whitehead,-5.0,6.38,210.0,6.73,56,30.5,15.8,7.92,18.8,0.5,0.452,895,6.6,31.6,2.4,3.7,17.9,30.8,0.124,6.9,0,1,0
Jake Layman,-2.3,6.77,209.0,6.77,141,27.9,10.2,7.17,17.3,0.572,0.536,1342,9.9,8.2,1.9,3.1,14.0,19.3,0.146,6.5,0,0,1
Georges Niang,-0.6,6.71,231.0,6.83,138,29.8,16.1,8.83,21.5,0.583,0.556,2129,9.8,20.0,1.3,1.6,14.3,26.9,0.16,6.4,1,0,0
Abdel Nader,-2.5,6.42,225.0,6.7,117,24.3,10.3,3.83,13.4,0.484,0.448,1112,10.6,10.2,2.0,2.9,17.7,27.5,0.052,-0.5,0,0,1
Tyrone Wallace,-5.1,6.42,198.0,6.7,129,31.6,12.6,7.31,16.5,0.485,0.457,1665,9.5,22.1,2.0,1.3,14.3,24.9,0.104,4.3,0,1,0
Karl-Anthony Towns,4.8,6.92,248.0,7.2,39,21.1,10.3,8.67,31.4,0.627,0.57,391,18.5,11.6,1.4,11.5,14.2,23.7,0.311,14.3,1,0,0
D'Angelo Russell,0.4,6.42,193.0,6.81,35,33.9,19.3,7.37,26.6,0.573,0.541,671,9.8,30.1,2.8,1.1,14.8,30.2,0.229,11.9,0,1,0
Jahlil Okafor,-2.1,6.83,270.0,7.11,38,30.1,17.3,9.87,30.7,0.641,0.664,609,16.6,9.4,1.5,4.5,15.6,27.6,0.235,10.4,1,0,0
